train loss: 1.7066, acc: 0.3868
validation loss: 1.5936, acc: 0.4235
train loss: 1.5644, acc: 0.4400
validation loss: 1.6505, acc: 0.4048
train loss: 1.5272, acc: 0.4527
validation loss: 1.5870, acc: 0.4294
train loss: 1.4958, acc: 0.4647
validation loss: 1.5102, acc: 0.4514
train loss: 1.4715, acc: 0.4710
validation loss: 1.5962, acc: 0.4243
train loss: 1.4531, acc: 0.4804
validation loss: 1.5469, acc: 0.4480
train loss: 1.4387, acc: 0.4834
validation loss: 1.4697, acc: 0.4644
train loss: 1.4359, acc: 0.4850
validation loss: 1.4452, acc: 0.4778
train loss: 1.4201, acc: 0.4898
validation loss: 1.4138, acc: 0.4830
train loss: 1.4079, acc: 0.4984
validation loss: 1.4652, acc: 0.4755
train loss: 1.3975, acc: 0.5007
validation loss: 1.5065, acc: 0.4576
train loss: 1.3971, acc: 0.4984
validation loss: 1.5070, acc: 0.4529
train loss: 1.3856, acc: 0.5035
validation loss: 1.4691, acc: 0.4695
train loss: 1.3854, acc: 0.5011
validation loss: 1.5050, acc: 0.4594
train loss: 1.3797, acc: 0.5047
validation loss: 1.4610, acc: 0.4775
train loss: 1.3688, acc: 0.5086
validation loss: 1.4153, acc: 0.4882
train loss: 1.3653, acc: 0.5117
validation loss: 1.4574, acc: 0.4702
train loss: 1.3682, acc: 0.5122
validation loss: 1.4186, acc: 0.4845
train loss: 1.3615, acc: 0.5104
validation loss: 1.5375, acc: 0.4509
train loss: 1.3505, acc: 0.5150
validation loss: 1.4625, acc: 0.4740
train loss: 1.3507, acc: 0.5153
validation loss: 1.4152, acc: 0.4826
train loss: 1.3482, acc: 0.5164
validation loss: 1.4525, acc: 0.4752
train loss: 1.3438, acc: 0.5184
validation loss: 1.4653, acc: 0.4690
train loss: 1.3412, acc: 0.5181
validation loss: 1.5299, acc: 0.4556
train loss: 1.3388, acc: 0.5191
validation loss: 1.4208, acc: 0.4840
train loss: 1.3344, acc: 0.5213
validation loss: 1.5071, acc: 0.4641
train loss: 1.3306, acc: 0.5177
validation loss: 1.4361, acc: 0.4890
train loss: 1.3353, acc: 0.5213
validation loss: 1.4463, acc: 0.4824
train loss: 1.3303, acc: 0.5210
validation loss: 1.4447, acc: 0.4790
train loss: 1.3234, acc: 0.5262
validation loss: 1.3959, acc: 0.4956
train loss: 1.3211, acc: 0.5271
validation loss: 1.4233, acc: 0.4876
train loss: 1.3207, acc: 0.5260
validation loss: 1.5053, acc: 0.4651
train loss: 1.3135, acc: 0.5283
validation loss: 1.4319, acc: 0.4897
train loss: 1.3185, acc: 0.5264
validation loss: 1.4055, acc: 0.4926
train loss: 1.3135, acc: 0.5273
validation loss: 1.4202, acc: 0.4970
train loss: 1.3082, acc: 0.5342
validation loss: 1.4143, acc: 0.4918
train loss: 1.3060, acc: 0.5319
validation loss: 1.4427, acc: 0.4843
train loss: 1.3056, acc: 0.5336
validation loss: 1.4406, acc: 0.4875
train loss: 1.3055, acc: 0.5320
validation loss: 1.4229, acc: 0.4960
train loss: 1.3054, acc: 0.5324
validation loss: 1.4295, acc: 0.4903
train loss: 1.3030, acc: 0.5340
validation loss: 1.4131, acc: 0.4961
train loss: 1.2950, acc: 0.5371
validation loss: 1.4282, acc: 0.4897
train loss: 1.3009, acc: 0.5321
validation loss: 1.3827, acc: 0.5026
train loss: 1.2931, acc: 0.5338
validation loss: 1.5003, acc: 0.4598
train loss: 1.2943, acc: 0.5361
validation loss: 1.3763, acc: 0.5059
train loss: 1.2886, acc: 0.5364
validation loss: 1.4204, acc: 0.4824
train loss: 1.2929, acc: 0.5352
validation loss: 1.4448, acc: 0.4814
train loss: 1.2875, acc: 0.5399
validation loss: 1.4359, acc: 0.4844
train loss: 1.2896, acc: 0.5389
validation loss: 1.3878, acc: 0.5014
train loss: 1.2853, acc: 0.5396
validation loss: 1.4465, acc: 0.4852
train loss: 1.2818, acc: 0.5415
validation loss: 1.4635, acc: 0.4670
train loss: 1.2840, acc: 0.5376
validation loss: 1.4014, acc: 0.4995
train loss: 1.2836, acc: 0.5416
validation loss: 1.4386, acc: 0.4863
train loss: 1.2782, acc: 0.5428
validation loss: 1.3985, acc: 0.5009
train loss: 1.2813, acc: 0.5422
validation loss: 1.4735, acc: 0.4820
train loss: 1.2794, acc: 0.5425
validation loss: 1.4606, acc: 0.4887
train loss: 1.2799, acc: 0.5423
validation loss: 1.4169, acc: 0.4922
train loss: 1.2763, acc: 0.5444
validation loss: 1.4008, acc: 0.4953
train loss: 1.2730, acc: 0.5445
validation loss: 1.4194, acc: 0.4864
train loss: 1.2732, acc: 0.5442
validation loss: 1.3606, acc: 0.5152
train loss: 1.2725, acc: 0.5443
validation loss: 1.5154, acc: 0.4618
train loss: 1.2699, acc: 0.5455
validation loss: 1.4373, acc: 0.4872
train loss: 1.2715, acc: 0.5453
validation loss: 1.4512, acc: 0.4847
train loss: 1.2688, acc: 0.5456
validation loss: 1.4673, acc: 0.4813
train loss: 1.2690, acc: 0.5475
validation loss: 1.4069, acc: 0.4964
train loss: 1.2664, acc: 0.5452
validation loss: 1.4400, acc: 0.4794
train loss: 1.2699, acc: 0.5449
validation loss: 1.4758, acc: 0.4712
train loss: 1.2649, acc: 0.5486
validation loss: 1.4750, acc: 0.4763
train loss: 1.2655, acc: 0.5467
validation loss: 1.3825, acc: 0.5016
train loss: 1.2615, acc: 0.5468
validation loss: 1.4308, acc: 0.4890
train loss: 1.2601, acc: 0.5474
validation loss: 1.4512, acc: 0.4789
train loss: 1.2665, acc: 0.5474
validation loss: 1.3918, acc: 0.5030
train loss: 1.2614, acc: 0.5470
validation loss: 1.4082, acc: 0.4922
train loss: 1.2601, acc: 0.5485
validation loss: 1.4187, acc: 0.4914
train loss: 1.2591, acc: 0.5512
validation loss: 1.3991, acc: 0.5009
train loss: 1.2568, acc: 0.5485
validation loss: 1.3993, acc: 0.4989
train loss: 1.2529, acc: 0.5505
validation loss: 1.4396, acc: 0.4837
train loss: 1.2574, acc: 0.5513
validation loss: 1.4484, acc: 0.4817
train loss: 1.2576, acc: 0.5514
validation loss: 1.4110, acc: 0.4911
train loss: 1.2593, acc: 0.5494
validation loss: 1.4042, acc: 0.4975
train loss: 1.2545, acc: 0.5510
validation loss: 1.4027, acc: 0.4899
train loss: 1.2483, acc: 0.5510
validation loss: 1.4238, acc: 0.4953
train loss: 1.2459, acc: 0.5546
validation loss: 1.4591, acc: 0.4851
train loss: 1.2522, acc: 0.5511
validation loss: 1.4809, acc: 0.4757
train loss: 1.2500, acc: 0.5527
